ablation,sample_size,replicate,seed,full_tv_error,ablated_tv_error,full_better,invalid_category,full_invalid_mass,ablated_invalid_mass,full_invalid_top1,ablated_invalid_top1
A2_remove_industry_prior,1,0,11729,0.0323232323232323,0.17121212121212126,True,,,,,
A4_remove_hierarchical_pooling,1,0,11729,0.0323232323232323,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,1,11730,0.1569023569023569,0.2823232323232323,True,,,,,
A4_remove_hierarchical_pooling,1,1,11730,0.1569023569023569,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,2,11731,0.10639730639730642,0.27555555555555555,True,,,,,
A4_remove_hierarchical_pooling,1,2,11731,0.10639730639730642,0.9,True,,,,,
A2_remove_industry_prior,1,3,11732,0.06767676767676771,0.20151515151515154,True,,,,,
A4_remove_hierarchical_pooling,1,3,11732,0.06767676767676771,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,4,11733,0.10198653198653201,0.17454545454545461,True,,,,,
A4_remove_hierarchical_pooling,1,4,11733,0.10198653198653201,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,5,11734,0.0597979797979798,0.15101010101010104,True,,,,,
A4_remove_hierarchical_pooling,1,5,11734,0.0597979797979798,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,6,11735,0.12909090909090915,0.2654545454545455,True,,,,,
A4_remove_hierarchical_pooling,1,6,11735,0.12909090909090915,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,7,11736,0.07663299663299666,0.24525252525252528,True,,,,,
A4_remove_hierarchical_pooling,1,7,11736,0.07663299663299666,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,8,11737,0.036329966329966386,0.1611111111111111,True,,,,,
A4_remove_hierarchical_pooling,1,8,11737,0.036329966329966386,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,9,11738,0.07353535353535358,0.2048484848484849,True,,,,,
A4_remove_hierarchical_pooling,1,9,11738,0.07353535353535358,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,10,11739,0.1181818181818182,0.18464646464646467,True,,,,,
A4_remove_hierarchical_pooling,1,10,11739,0.1181818181818182,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,11,11740,0.036498316498316516,0.16111111111111112,True,,,,,
A4_remove_hierarchical_pooling,1,11,11740,0.036498316498316516,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,12,11741,0.033030303030303076,0.19141414141414143,True,,,,,
A4_remove_hierarchical_pooling,1,12,11741,0.033030303030303076,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,13,11742,0.1356565656565657,0.24525252525252533,True,,,,,
A4_remove_hierarchical_pooling,1,13,11742,0.1356565656565657,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,14,11743,0.058754208754208684,0.08363636363636368,True,,,,,
A4_remove_hierarchical_pooling,1,14,11743,0.058754208754208684,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,15,11744,0.0676767676767677,0.214949494949495,True,,,,,
A4_remove_hierarchical_pooling,1,15,11744,0.0676767676767677,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,16,11745,0.1720538720538721,0.19141414141414143,True,,,,,
A4_remove_hierarchical_pooling,1,16,11745,0.1720538720538721,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,17,11746,0.04296296296296295,0.24191919191919198,True,,,,,
A4_remove_hierarchical_pooling,1,17,11746,0.04296296296296295,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,18,11747,0.1567340067340067,0.2621212121212121,True,,,,,
A4_remove_hierarchical_pooling,1,18,11747,0.1567340067340067,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,19,11748,0.20811447811447814,0.2217171717171717,True,,,,,
A4_remove_hierarchical_pooling,1,19,11748,0.20811447811447814,0.83,True,,,,,
A2_remove_industry_prior,1,20,11749,0.26464646464646463,0.2924242424242425,True,,,,,
A4_remove_hierarchical_pooling,1,20,11749,0.26464646464646463,0.83,True,,,,,
A2_remove_industry_prior,1,21,11750,0.22424242424242424,0.3260606060606061,True,,,,,
A4_remove_hierarchical_pooling,1,21,11750,0.22424242424242424,0.9,True,,,,,
A2_remove_industry_prior,1,22,11751,0.07343434343434349,0.24191919191919192,True,,,,,
A4_remove_hierarchical_pooling,1,22,11751,0.07343434343434349,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,23,11752,0.04996632996632999,0.18131313131313134,True,,,,,
A4_remove_hierarchical_pooling,1,23,11752,0.04996632996632999,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,24,11753,0.2233670033670034,0.30252525252525253,True,,,,,
A4_remove_hierarchical_pooling,1,24,11753,0.2233670033670034,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,25,11754,0.1407744107744108,0.2621212121212121,True,,,,,
A4_remove_hierarchical_pooling,1,25,11754,0.1407744107744108,0.9,True,,,,,
A2_remove_industry_prior,1,26,11755,0.21245791245791246,0.342929292929293,True,,,,,
A4_remove_hierarchical_pooling,1,26,11755,0.21245791245791246,0.83,True,,,,,
A2_remove_industry_prior,1,27,11756,0.09026936026936032,0.19141414141414143,True,,,,,
A4_remove_hierarchical_pooling,1,27,11756,0.09026936026936032,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,28,11757,0.12404040404040406,0.353030303030303,True,,,,,
