ablation,sample_size,replicates,full_mean_tv,ablated_mean_tv,full_tv_variance,ablated_tv_variance,paired_full_win_rate,full_top1_accuracy,ablated_top1_accuracy,full_invalid_mass_mean,ablated_invalid_mass_mean,full_invalid_top1_rate,ablated_invalid_top1_rate
A2_remove_industry_prior,1,200,0.11116127946127947,0.23766313131313133,0.003573476958020157,0.0032416813261401897,0.99,0.97,0.475,,,,
A4_remove_hierarchical_pooling,1,200,0.11116127946127947,0.61765,0.003573476958020157,0.037648977500000014,1,0.97,0.57,,,,
A2_remove_industry_prior,3,200,0.11813219373219375,0.2164106837606838,0.003099443150948451,0.004881214295967566,0.94,0.97,0.62,,,,
A4_remove_hierarchical_pooling,3,200,0.11813219373219375,0.3920666666666666,0.003099443150948451,0.01601950666666667,1,0.97,0.61,,,,
A2_remove_industry_prior,5,200,0.11413333333333334,0.18850185185185186,0.003208016302392929,0.005234528528806584,0.91,0.975,0.715,,,,
A4_remove_hierarchical_pooling,5,200,0.11413333333333334,0.2858,0.003208016302392929,0.013144360000000003,0.97,0.975,0.77,,,,
A2_remove_industry_prior,10,200,0.1093939814814815,0.15710000000000002,0.0024294149346279154,0.004633380123456791,0.815,0.98,0.865,,,,
A4_remove_hierarchical_pooling,10,200,0.1093939814814815,0.1968,0.0024294149346279154,0.007495760000000001,0.925,0.98,0.875,,,,
A2_remove_industry_prior,20,200,0.09717253086419753,0.11736851851851854,0.0019454365454008539,0.0029583640569272986,0.71,1,0.985,,,,
A4_remove_hierarchical_pooling,20,200,0.09717253086419753,0.14175,0.0019454365454008539,0.0036654375,0.93,1,0.99,,,,
A3_remove_compatibility_mask,4,4,,,,,,,,0.0,0.495,0,1
A6_remove_temporal_decay,80,200,0.26531410103534814,0.32180555555555557,0.0017617679005036738,0.0015410300925925925,1,,,,,,
