parameter_family,parameter_value,mode,top_category,effective_evidence_mass,data_support,uncertainty_entropy,L0_weight,L3_weight,L5_weight,fallback_weight,L5_to_L3_ratio,diagnostic_distribution,tv_vs_gamma_0_7,delta_per_day,ownership_weight,evidence_weight,tradeoff_weight,reflection_weight,recent_to_old_ratio,tv_to_prior,tv_to_empirical,posterior
gamma,0.5,ordered_practice_priority,evidence,3.196003,0.329345,0.93669,0.842105,0.124157,0.033738,0.157895,0.27173659157357216,"{""evidence"":0.41714,""ownership"":0.269876,""reflection"":0.151179,""tradeoff"":0.161805}",0.02542549999999999,,,,,,,,,
gamma,0.7,ordered_practice_priority,evidence,3.196003,0.329345,0.952409,0.617269,0.249725,0.133006,0.38273100000000004,0.5326098708579438,"{""evidence"":0.391886,""ownership"":0.269704,""reflection"":0.153524,""tradeoff"":0.184885}",0.0,,,,,,,,,
gamma,0.9,ordered_practice_priority,evidence,3.196003,0.329345,0.966502,0.382134,0.328576,0.28929,0.617866,0.8804355765485002,"{""evidence"":0.364588,""ownership"":0.267827,""reflection"":0.158407,""tradeoff"":0.209178}",0.029175500000000007,,,,,,,,,
delta_per_month,0.01,ordered_practice_priority,ownership,3.817479673246373,0.379472,0.999941,,,,,,"{""evidence"":0.252593,""ownership"":0.253136,""reflection"":0.245124,""tradeoff"":0.249147}",,0.000328515111695138,0.9977030362858839,0.9901929524785411,0.9425816613179417,0.8870020231640064,1.124803563273732,,,
delta_per_month,0.02,ordered_practice_priority,ownership,3.651126209102174,0.366434,0.999783,,,,,,"{""evidence"":0.254959,""ownership"":0.256053,""reflection"":0.240769,""tradeoff"":0.248218}",,0.000657030223390276,0.9954113486140718,0.9804820831381703,0.8884601882528911,0.7867725890970407,1.2651830559532844,,,
delta_per_month,0.05,ordered_practice_priority,ownership,3.2335867629664947,0.332488,0.998967,,,,,,"{""evidence"":0.260845,""ownership"":0.263615,""reflection"":0.230403,""tradeoff"":0.245137}",,0.0016425755584756898,0.988567820802801,0.9519171581241574,0.7440376798099382,0.549064104229598,1.800459751762281,,,
lambda0_prior_concentration,1,,,,,,,,,,,,,,,,,,,0.5,0.05000000000000002,"{""evidence"":0.75,""ownership"":0.11363636363636363,""reflection"":0.022727272727272728,""tradeoff"":0.11363636363636363}"
lambda0_prior_concentration,5,,,,,,,,,,,,,,,,,,,0.3666666666666667,0.18333333333333332,"{""evidence"":0.6166666666666667,""ownership"":0.15,""reflection"":0.08333333333333333,""tradeoff"":0.15}"
lambda0_prior_concentration,10,,,,,,,,,,,,,,,,,,,0.275,0.275,"{""evidence"":0.525,""ownership"":0.175,""reflection"":0.125,""tradeoff"":0.175}"
lambda0_prior_concentration,20,,,,,,,,,,,,,,,,,,,0.18333333333333335,0.3666666666666667,"{""evidence"":0.43333333333333335,""ownership"":0.2,""reflection"":0.16666666666666666,""tradeoff"":0.2}"
lambda0_prior_concentration,50,,,,,,,,,,,,,,,,,,,0.09166666666666666,0.45833333333333337,"{""evidence"":0.3416666666666667,""ownership"":0.225,""reflection"":0.20833333333333334,""tradeoff"":0.225}"
